id,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
SAR00003,Ternium Siderar San Nicolás steel plant,Planta siderúrgica Ternium Siderar (Spanish),Ternium Argentina SA [100%],Ternium Argentina SA,N/A,Buenos Aires,Argentina,Central & South America,operating,3200,3220,integrated_BF,"BF, BOF",https://www.gem.wiki/Ternium_Siderar_San_Nicol%C3%A1s_steel_plant,-33.37365,-60.138697
SAR00001,ArcelorMittal Acindar Villa Constitución steel plant,Planta siderúrgica Acindar (Spanish),ArcelorMittal SA [100%],Acindar Industria Argentina de Aceros SA,N/A,Santa Fe,Argentina,Central & South America,operating,1750,600,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Acindar_Villa_Constituci%C3%B3n_steel_plant,-33.249936,-60.300415
SAR00004,Gerdau Sipar Pérez steel plant,Planta siderúrgica Gerdau Sipar Pérez (Spanish),Gerdau SA [100%],Sipar Aceros SA,N/A,Santa Fe,Argentina,Central & South America,operating,650,N/A,electric,EAF,https://www.gem.wiki/Gerdau_Sipar_P%C3%A9rez_steel_plant,-32.9912336,-60.7588733
SAU00001,BlueScope Port Kembla steel plant,,BlueScope Steel Ltd [100%],BlueScope Steel Ltd,N/A,New South Wales,Australia,Asia Pacific,operating,3200,3000,integrated_BF,"BF, BOF",https://www.gem.wiki/BlueScope_Port_Kembla_steel_plant,-34.463834,150.886191
SAU00004,GFG Liberty Sydney Steel Mill,,Gfg Alliance Ltd [100%],InfraBuild Australia Pty Ltd,N/A,New South Wales,Australia,Asia Pacific,operating,750,N/A,electric,EAF,,-33.76601,150.849819
SAU00002,GFG Liberty Steel Australia Whyalla steel plant,,Gfg Alliance Ltd [100%],Gfg Alliance Ltd,N/A,South Australia,Australia,Asia Pacific,operating,1200,1200,integrated_BF,"BF, BOF",https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant,-33.009381,137.587836
SAU00002-1,GFG Liberty Steel Australia Whyalla steel plant DRI and EAF expansion,,Gfg Alliance Ltd [100%],Gfg Alliance Ltd,N/A,South Australia,Australia,Asia Pacific,announced,2400,2400,integrated_DRI,"DRI, EAF",,-33.009381,137.587836
SAU00003,GFG Liberty Laverton Steel Mill,,Gfg Alliance Ltd [100%],InfraBuild Australia Pty Ltd,N/A,Victoria,Australia,Asia Pacific,operating,660,N/A,electric,EAF,,-37.831379,144.788169
SAT00002,Voestalpine Stahl Donawitz steel plant,,voestalpine AG [100%],voestalpine Stahl Donawitz GmbH,N/A,Styria,Austria,Europe,operating,1570,1650,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Donawitz_steel_plant,47.380455,15.065182
SAT00002-2,Voestalpine Stahl Donawitz steel plant transition (BF-BOF closure),,voestalpine AG [100%],voestalpine Stahl Donawitz GmbH,N/A,Styria,Austria,Europe,retired,850,825,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Donawitz_steel_plant,47.380455,15.065182
SAT00002-1,Voestalpine Stahl Donawitz steel plant transition (EAF expansion),,voestalpine AG [100%],voestalpine Stahl Donawitz GmbH,N/A,Styria,Austria,Europe,announced,850,N/A,electric,EAF,https://www.gem.wiki/Voestalpine_Stahl_Donawitz_steel_plant,47.380455,15.065182
SAT00001,Voestalpine Stahl Linz steel plant,,voestalpine AG [100%],voestalpine Stahl GmbH,N/A,Upper Austria,Austria,Europe,operating,6000,5000,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Linz_steel_plant,48.274023,14.33434
SAT00001-2,Voestalpine Stahl Linz steel plant transition (BF-BOF closure),,voestalpine AG [100%],voestalpine Stahl GmbH,N/A,Upper Austria,Austria,Europe,retired,1650,1666.666667,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Linz_steel_plant,48.274023,14.33434
SAT00001-1,Voestalpine Stahl Linz steel plant transition (EAF expansion),,voestalpine AG [100%],voestalpine Stahl GmbH,N/A,Upper Austria,Austria,Europe,announced,1600,N/A,electric,EAF,https://www.gem.wiki/Voestalpine_Stahl_Linz_steel_plant,48.274023,14.33434
SAZ00002,Azerbaijan Integrated Steel Mill Complex,,Azerbaijan Integrated Steel Mill Complex [100%],Azerbaijan Integrated Steel Mill Complex,N/A,Ganja-Dashkasan,Azerbaijan,Eurasia,announced,1250,1250,integrated_DRI,"DRI, EAF",,40.721908,46.363526
SAZ00001,Baku Steel Company steel plant,Бакинский сталелитейный завод (Russian),Baku Steel Company MMJ [100%],Baku Steel Company MMJ,N/A,Narimanov,Azerbaijan,Eurasia,operating,1000,N/A,electric,EAF,https://www.gem.wiki/Baku_Steel_Company_steel_plant,40.43136,49.886867
SBH00001,Sulb Bahrain Al Hidd steel plant,,Foulath Holding BSCC [50%]; Yamato Kogyo Co Ltd [50%],SULB Bahrain,N/A,Muharraq,Bahrain,Middle East,operating,1100,1600,integrated_DRI,"DRI, EAF",https://www.gem.wiki/Sulb_Bahrain_Al_Hidd_steel_plant,26.198152,50.679893
SBD00005,BSRM Steels Chattogram plant,,Bangladesh Steel Re-Rolling Mills Ltd [100%],Bangladesh Steel Re-Rolling Mills Ltd,N/A,Chattogram,Bangladesh,Asia Pacific,operating,1012,N/A,electric,EAF,,22.38106,91.76862
SBD00005-1,BSRM Steels expansion,,Bangladesh Steel Re-Rolling Mills Ltd [100%],Bangladesh Steel Re-Rolling Mills Ltd,N/A,Chattogram,Bangladesh,Asia Pacific,announced,500,N/A,electric,EAF,,22.38106,91.76862
SBD00003,Abul Khair Steel Sitakunda plant,,Abul Khair Ltd [100%],Abul Khair Steel Ltd,N/A,Chittagong,Bangladesh,Asia Pacific,operating,1400,N/A,electric,EAF,,22.472008,91.734827
SBD00002,Bashundhara Steel Mirsarai plant,,Bashundhara Group [100%],Bashundhara Group,N/A,Chittagong,Bangladesh,Asia Pacific,announced,2000,N/A,electric,EAF,,22.873921,91.546487
SBD00001,GPH Steel Sitakunda plant,,GPH Ispat Ltd [100%],GPH Ispat Ltd,N/A,Chittagong,Bangladesh,Asia Pacific,operating,1008,N/A,electric,EAF,,22.536569,91.700729
SBD00007,KSRM Sitakunda steel plant,,Kabir Group of Co. (Pvt.) Ltd. [100%],KSRM Steel Plant Ltd,N/A,Chittagong,Bangladesh,Asia Pacific,operating,800,N/A,electric,EAF,,22.499834,91.715778
SBD00008,Star Consortium steel plant,,Star Infrastructure Development Corp [30%]; Kunming Iron & Steel Holding Co Ltd [70%],Star Infrastructure Development Corp,N/A,Chittagong,Bangladesh,Asia Pacific,announced,2000,2000,integrated_BF,"BF, BOF",,22.774191,91.574601
SBD00004,BSRM Steels Mirsarai plant,,Bangladesh Steel Re-Rolling Mills Ltd [45%]; BSRM Steels Ltd [55%],BSRM Steels Ltd,N/A,Mirsarai,Bangladesh,Asia Pacific,operating,1000,N/A,electric,EAF,,22.87176,91.546568
SBY00001,Byelorussian Steel Works,Беларускі металургічны завод (Belarusian),BMK Holding [100%],BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK OAO,full,Gomel Region,Belarus,Europe,operating,3000,N/A,electric,EAF,https://www.gem.wiki/Byelorussian_Steel_Works,52.849321,29.988985
SBE00002,Aperam Stainless Belgium Genk steel plant,,Aperam SA [100%],Aperam Stainless Belgium NV,N/A,Limburg,Belgium,Europe,operating,1200,N/A,electric,EAF,https://www.gem.wiki/Aperam_Stainless_Belgium_Genk_steel_plant,50.933973,5.511494
SBE00001,ArcelorMittal Gent steel plant,,ArcelorMittal SA [100%],ArcelorMittal SA,N/A,Vlaanderen,Belgium,Europe,operating,5000,5000,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Gent_steel_plant,51.169929,3.804462
SBE00001-2,ArcelorMittal Gent steel plant transition (BF-BOF closure),,ArcelorMittal SA [100%],ArcelorMittal SA,N/A,Vlaanderen,Belgium,Europe,retired,2500,2700,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Gent_steel_plant,51.169929,3.804462
SBE00001-1,ArcelorMittal Gent steel plant transition (DRI-EAF addition),,ArcelorMittal SA [100%],ArcelorMittal SA,N/A,Vlaanderen,Belgium,Europe,announced,2500,2500,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Gent_steel_plant,51.169929,3.804462
SBE00003,Aperam Stainless Belgium Châtelet steel plant,,Aperam SA [100%],Aperam Stainless Belgium NV,N/A,Wallonie,Belgium,Europe,operating,1000,N/A,electric,EAF,https://www.gem.wiki/Aperam_Stainless_Belgium_Ch%C3%A2telet_steel_plant,50.414998,4.532443
SBE00006,Thy Marcinelle Charleroi steel plant,,Riva Forni Elettrici SpA [100%],Thy Marcinelle Sa/Nv,N/A,Wallonie,Belgium,Europe,operating,850,N/A,electric,EAF,https://www.gem.wiki/Thy_Marcinelle_Charleroi_steel_plant,50.410335,4.429693
SBA00001,ArcelorMittal Zenica steel plant,,ArcelorMittal SA [100%],Arcelormittal Zenica doo Zenica,N/A,Zenica-Doboj,Bosnia and Herzegovina,Europe,operating,1940,1100,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/ArcelorMittal_Zenica_steel_plant,44.224446,17.899815
SBR00008,ArcelorMittal Pecém steel plant,CSP - Companhia Siderúrgica do Pecém (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Ceará,Brazil,Central & South America,operating,3000,3192,integrated_BF,"BF, BOF",https://www.gem.wiki/CSP_Pec%C3%A9m_steel_plant,-3.585917,-38.858932
SBR00002,ArcelorMittal Tubarão steel plant,Usina Siderúrgica de Tubarão (Portuguese),ArcelorMittal SA [100%],Arcelormittal Tubarao Comercial SA,N/A,Espírito Santo,Brazil,Central & South America,operating,7500,7280,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Tubar%C3%A3o_steel_plant,-20.253447,-40.242298
SBR00020,Simec Cariacica steel plant,Usina siderúrgica Simec Cariacica (Portuguese),Grupo Simec SAB de CV [100%],GV do Brasil Industria e Comercio de Aço Ltda,N/A,Espírito Santo,Brazil,Central & South America,operating,600,N/A,electric,EAF,https://www.gem.wiki/Simec_Cariacica_steel_plant,-20.34291,-40.360864
SBR00020-1,Simec Cariacica steel plant EAF expansion,Usina siderúrgica Simec Cariacica (Portuguese),Grupo Simec SAB de CV [100%],GV do Brasil Industria e Comercio de Aço Ltda,N/A,Espírito Santo,Brazil,Central & South America,announced,200,N/A,electric,EAF,https://www.gem.wiki/Simec_Cariacica_steel_plant,-20.34291,-40.360865
SBR00014,AVB Açailândia steel plant,Usina siderúrgica AVB Açailândia (Portuguese),Ferroeste Industrial Ltda [100%],Aco Verde do Brasil SA,N/A,Maranhão,Brazil,Central & South America,operating,600,720,integrated_BF,"BF, BOF",https://www.gem.wiki/AVB_A%C3%A7ail%C3%A2ndia_steel_plant,-4.874373,-47.4073517
SBR00022,Viena Açailândia iron works,Usina siderúrgica Viena Açailândia (Portuguese),Grupo Viena [100%],Andrade Valladares Engenharia e Construcao Ltda,N/A,Maranhão,Brazil,Central & South America,operating,N/A,500,ironmaking_BF,BF,https://www.gem.wiki/Viena_A%C3%A7ail%C3%A2ndia_iron_works,-4.887877,-47.392157
SBR00021,Aperam Timóteo steel plant,Usina siderúrgica Aperam Timoteo (Portuguese),Aperam SA [100%],Aperam Inox America do Sul SA,N/A,Minas Gerais,Brazil,Central & South America,operating,900,701,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/Aperam_Tim%C3%B3teo_steel_plant,-19.531272,-42.639979
SBR00013,ArcelorMittal Juiz de Fora steel plant,Usina siderúrgica ArcelorMittal Juiz de Fora (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Minas Gerais,Brazil,Central & South America,operating,1100,360,integrated_BF,"BF, EAF",https://www.gem.wiki/ArcelorMittal_Juiz_de_Fora_steel_plant,-21.626963,-43.462361
SBR00013-1,ArcelorMittal Juiz de Fora steel plant EAF expansion,Usina siderúrgica ArcelorMittal Juiz de Fora (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Minas Gerais,Brazil,Central & South America,cancelled,200,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Juiz_de_Fora_steel_plant,-21.626963,-43.462362
SBR00003-1,ArcelorMittal Monlevade steel BF and EAF expansion,"ArcelorMittal Aços Longos (Portuguese), Companhia Siderúrgica Belgo-Mineira (Portuguese, predecessor)",ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Minas Gerais,Brazil,Central & South America,construction,1000,1200,integrated_BF,"BF, EAF",https://www.gem.wiki/ArcelorMittal_Monlevade_steel_plant,-19.832129,-43.130165
SBR00003,ArcelorMittal Monlevade steel plant,"ArcelorMittal Aços Longos (Portuguese), Companhia Siderúrgica Belgo-Mineira (Portuguese, predecessor)",ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Minas Gerais,Brazil,Central & South America,operating,1200,1040,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Monlevade_steel_plant,-19.832129,-43.130164
SBR00001,Gerdau Açominas Ouro Branco steel plant,Usina siderúrgica Gerdau Açominas (Portuguese),Gerdau SA [99.9%]; Other [0.1%],Gerdau Acominas SA,N/A,Minas Gerais,Brazil,Central & South America,operating,4500,4429,integrated_BF,"BF, BOF",https://www.gem.wiki/Gerdau_A%C3%A7ominas_Ouro_Branco_steel_plant,-20.543507,-43.75295
SBR00015,Gerdau Divinópolis steel plant,Usina siderúrgica Gerdau Divinópolis (Portuguese),Gerdau SA [99.8%]; Other [0.2%],Gerdau Acos Longos Sa,N/A,Minas Gerais,Brazil,Central & South America,operating,600,430,integrated_BF,"BF, BOF",https://www.gem.wiki/Gerdau_Divin%C3%B3polis_steel_plant,-20.153931,-44.878995
SBR00011,Usiminas Ipatinga steel plant,Usina siderúrgica Usiminas Ipatinga (Portuguese),Usinas Siderurgicas de Minas Gerais SA USIMINAS [100%],Usinas Siderurgicas de Minas Gerais SA USIMINAS,N/A,Minas Gerais,Brazil,Central & South America,operating,5000,3620,integrated_BF,"BF, BOF",https://www.gem.wiki/Usiminas_Ipatinga_steel_plant,-19.491277,-42.544253
SBR00012,Vallourec Jeceaba steel plant,Usina siderúrgica de Jeceaba (Portuguese),Vallourec SA [99.6%]; Other [0.4%],Vallourec Solucoes Tubulares do Brasil SA,N/A,Minas Gerais,Brazil,Central & South America,operating,1000,350,integrated_BF,"BF, EAF",https://www.gem.wiki/Vallourec_Jeceaba_steel_plant,-20.582683,-43.971555
SBR00017,Gerdau Guaíra Araucária steel plant,Usina siderúrgica Gerdau Guaíra Araucária (Portuguese),Gerdau SA [99.8%]; Other [0.2%],Gerdau Acos Longos Sa,N/A,Paraná,Brazil,Central & South America,operating,540,N/A,electric,EAF,https://www.gem.wiki/Gerdau_Gua%C3%ADra_Arauc%C3%A1ria_steel_plant,-25.564041,-49.421729
SBR00018,ArcelorMittal Barra Mansa steel plant,Usina siderúrgica ArcelorMittal Barra Mansa (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Rio de Janeiro,Brazil,Central & South America,operating,800,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Barra_Mansa_steel_plant,-22.525806,-44.191067
SBR00004,ArcelorMittal Resende steel plant,Usina siderúrgica ArcelorMittal Resende (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,Rio de Janeiro,Brazil,Central & South America,operating,1000,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Resende_steel_plant,-22.493597,-44.512628
SBR00007,CSN Volta Redonda steel plant,Usina siderúrgica CSN Presidente Vargas (Portuguese),Companhia Siderúrgica Nacional [100%],Companhia Siderurgica Nacional,N/A,Rio de Janeiro,Brazil,Central & South America,operating,6250,5658,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/CSN_Volta_Redonda_steel_plant,-22.512631,-44.11287
SBR00010,Gerdau Cosigua Santa Cruz steel plant,Usina siderúrgica Gerdau Cosigua (Portuguese),Gerdau SA [99.8%]; Other [0.2%],Gerdau Acos Longos Sa,N/A,Rio de Janeiro,Brazil,Central & South America,operating,1400,N/A,electric,EAF,https://www.gem.wiki/Gerdau_Cosigua_Santa_Cruz_steel_plant,-22.90242,-43.749319
SBR00006,Ternium Brasil Santa Cruz steel plant,Usina siderúrgica Ternium (Portuguese),Ternium SA [100%],Ternium Brasil Ltda,N/A,Rio de Janeiro,Brazil,Central & South America,operating,5200,5300,integrated_BF,"BF, BOF",https://www.gem.wiki/Ternium_Brasil_Santa_Cruz_steel_plant,-22.912549,-43.741614
SBR00009,ArcelorMittal Piracicaba steel plant,Usina siderúrgica ArcelorMittal Piracicaba (Portuguese),ArcelorMittal SA [100%],Arcelormittal Brasil SA,N/A,São Paulo,Brazil,Central & South America,operating,1100,N/A,electric,EAF,https://www.gem.wiki/ArcelorMittal_Piracicaba_steel_plant,-22.698154,-47.657146
SBR00023,Gerdau Pindamonhangaba steel plant,Usina siderúrgica Gerdau Pindamonhangaba (Portuguese),Gerdau SA [100%],Gerdau Acos Especiais SA,N/A,São Paulo,Brazil,Central & South America,operating,620,N/A,electric,EAF,https://www.gem.wiki/Gerdau_Pindamonhangaba_steel_plant,-22.89918,-45.347726
SBR00016,Gerdau São Paulo Araçariguama steel plant,Usina siderúrgica Gerdau São Paulo Araçariguama (Portuguese),Gerdau SA [99.8%]; Other [0.2%],Gerdau Acos Longos Sa,N/A,São Paulo,Brazil,Central & South America,operating,950,N/A,electric,EAF,https://www.gem.wiki/Gerdau_S%C3%A3o_Paulo_Ara%C3%A7ariguama_steel_plant,-23.43864,-47.08825
SBR00019,Simec Pindamonhangaba steel plant,Usina siderúrgica Simec Pindamonhangaba (Portuguese),Grupo Simec SAB de CV [100%],GV do Brasil Industria e Comercio de Aço Ltda,N/A,São Paulo,Brazil,Central & South America,operating,500,N/A,electric,EAF,https://www.gem.wiki/Simec_Pindamonhangaba_steel_plant,-22.921912,-45.413234
SBR00019-1,Simec Pindamonhangaba steel plant EAF expansion,Usina siderúrgica Simec Pindamonhangaba (Portuguese),Grupo Simec SAB de CV [100%],GV do Brasil Industria e Comercio de Aço Ltda,N/A,São Paulo,Brazil,Central & South America,construction,500,N/A,electric,EAF,https://www.gem.wiki/Simec_Pindamonhangaba_steel_plant,-22.921912,-45.413235
SBR00005,Usiminas Cubatão steel plant,Usina Usiminas Cubatão (Portuguese),Usinas Siderurgicas de Minas Gerais SA USIMINAS [100%],Usinas Siderurgicas de Minas Gerais SA USIMINAS,N/A,São Paulo,Brazil,Central & South America,mothballed,4500,4500,integrated_BF,"BF, BOF",https://www.gem.wiki/Usiminas_Cubat%C3%A3o_steel_plant,-23.863092,-46.376294
SBG00001,Stomana Industry Pernik steel plant,,Viohalco SA [100%],Stomana Industry AD Pernik,N/A,Pernik,Bulgaria,Europe,operating,1200,N/A,electric,EAF,https://www.gem.wiki/Stomana_Industry_Pernik_steel_plant,42.595629,23.093095
SKH00001,China Baowu Phnom Penh steel plant,,"China Baowu Iron and Steel Group Co., Ltd. [100%]",Xinjiang Bayi Steel Southern Xinjiang Steel Baicheng Co Ltd,full,Phnom Penh,Cambodia,Asia Pacific,announced,3100,3100,integrated_BF,"BF, BOF",https://www.gem.wiki/China_Baowu_Phnom_Penh_steel_plant,11.56703,104.863893
SCA00003,Algoma Steel plant,,Algoma Steel Inc [100%],Algoma Steel Inc,N/A,Ontario,Canada,North America,operating,2800,2690,integrated_BF,"BF, BOF",https://www.gem.wiki/Algoma_steel_plant,46.518984,-84.374068
SCA00003-2,Algoma Steel plant transition (BF-BOF closure),,Algoma Steel Inc [100%],Algoma Steel Inc,N/A,Ontario,Canada,North America,retired,2800,2690,integrated_BF,"BF, BOF",https://www.gem.wiki/Algoma_steel_plant,46.518984,-84.374068
SCA00003-1,Algoma Steel plant transition (EAF addition),,Algoma Steel Inc [100%],Algoma Steel Inc,N/A,Ontario,Canada,North America,construction,3700,N/A,electric,EAF,https://www.gem.wiki/Algoma_steel_plant,46.518984,-84.374068
SCA00002,ArcelorMittal Dofasco steel plant,,ArcelorMittal SA [100%],ArcelorMittal Dofasco Inc,N/A,Ontario,Canada,North America,operating,4050,3024,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/ArcelorMittal_Dofasco_steel_plant,43.269255,-79.804858
SCA00002-2,ArcelorMittal Dofasco steel plant transition (BF-BOF closure),,ArcelorMittal SA [100%],ArcelorMittal Dofasco Inc,N/A,Ontario,Canada,North America,retired,2700,3024,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Dofasco_steel_plant,43.269255,-79.804858
SCA00002-1,ArcelorMittal Dofasco steel plant transition (DRI-EAF addition),,ArcelorMittal SA [100%],ArcelorMittal Dofasco Inc,N/A,Ontario,Canada,North America,announced,2400,2649,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Dofasco_steel_plant,43.269255,-79.804858
SCA00006,Gerdau Whitby Steel Mill,,Gerdau SA [100%],Gerdau Long Steel North America,N/A,Ontario,Canada,North America,operating,949,N/A,electric,EAF,https://www.gem.wiki/Gerdau_Whitby_Steel_Mill,43.856461,-78.908997
SCA00007,Ivaco Rolling Mills steel plant,,Heico Companies LLC [100%],Ivaco Rolling Mills 2004 LP,N/A,Ontario,Canada,North America,operating,650,N/A,electric_oxygen,"BOF, EAF",https://www.gem.wiki/Ivaco_Rolling_Mills_steel_plant,45.613941,-74.704608
SCA00005,Stelco Lake Erie steel plant,,Stelco Holdings Inc [100%],Stelco Inc,N/A,Ontario,Canada,North America,operating,2500,2400,integrated_BF,"BF, BOF",https://www.gem.wiki/Stelco_Lake_Erie_steel_plant,42.805448,-80.095313
SCA00001,ArcelorMittal Montreal steel plant,,ArcelorMittal SA [100%],ArcelorMittal Long Products Canada GP,N/A,Quebec,Canada,North America,operating,2400,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Montreal_steel_plant,45.835148,-73.254957
SCA00008,Rio Tinto Fer et Titane steel plant,,Rio Tinto PLC [100%],Rio Tinto Iron and Titanium Canada Inc,N/A,Quebec,Canada,North America,operating,600,N/A,oxygen,BOF,https://www.gem.wiki/Rio_Tinto_Fer_et_Titane,46.044367,-73.138474
SCA00004,Evraz Regina Steel plant,,EVRAZ plc [100%],Evraz North America PLC,N/A,Saskatchewan,Canada,North America,operating,1100,N/A,electric,EAF,https://www.gem.wiki/Evraz_Regina_Steel_plant,50.51499,-104.630589
SCL00001,CAP Acero Huachipato steel plant,Planta siderúrgica Huachipato (Spanish),CAP SA [100%],Compania Siderurgica Huachipato SA,N/A,Concepción,Chile,Central & South America,operating,1450,1482,integrated_BF,"BF, BOF",https://www.gem.wiki/CAP_Acero_Huachipato_steel_plant,-36.746421,-73.129171
SCL00002,AZA Colina steel plant,Planta siderúrgica AZA Colina (Spanish),Ingenieria e Inversiones Ltda [45%]; Matco Cables [45%]; Los Andes S.A. de Inversiones [5%]; inversiones Reyosan [5%],AZA Acero Sostenible,N/A,Región Metropolitana,Chile,Central & South America,operating,520,N/A,electric,EAF,https://www.gem.wiki/AZA_Colina_steel_plant,-33.294729,-70.727881
SCN00003,"Anhui Changjiang Steel Co., Ltd.",安徽长江钢铁股份有限公司,Maanshan Iron & Steel Company Limited [55%]; Other [45%],Anhui Changjiang Steel Co Ltd,partial,Anhui,China,Asia Pacific,operating,3800,3250,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Anhui_Changjiang_Steel_Co.,_Ltd._plant",31.502272,118.465162
SCN00004,"Anhui Guihang Special Steel Co., Ltd.",安徽省贵航特钢有限公司,Anhui Guihang Special Steel Co Ltd [100%],Anhui Guihang Special Steel Co Ltd,N/A,Anhui,China,Asia Pacific,operating,2000,1962,integrated_BF,"BF, BOF","https://www.gem.wiki/Anhui_Guihang_Special_Steel_Co.,_Ltd._plant",30.531068,117.251147
SCN00360,"Anhui Jin'an Stainless Steel Casting Co., Ltd.",安徽金安不锈钢铸造有限公司,"Anhui Xinda Steel Development Co., Ltd. [100%]","Anhui Jin'an Stainless Steel Casting Co., Ltd.",N/A,Anhui,China,Asia Pacific,operating,500,N/A,electric,EAF,"https://www.gem.wiki/Anhui_Jin%27an_Stainless_Steel_Casting_Co.,_Ltd._plant",31.763956,115.924372
